               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.025646,            0.020639,           0.0022589,             0.83374,             0.68805,             0.75746,             0.44078,             0.02866,            0.033322,           0.0099454,           0.0013861,           0.0013861,           0.0013861
                 113,            0.023801,            0.024226,           0.0027997,             0.84238,             0.68187,              0.7579,             0.44078,            0.028834,            0.033344,           0.0099223,           0.0013425,           0.0013425,           0.0013425
                 114,            0.024775,            0.025712,           0.0025005,             0.84052,              0.6859,             0.75803,             0.44184,            0.028611,            0.033342,           0.0098679,           0.0013015,           0.0013015,           0.0013015
                 115,              0.0239,            0.023714,              0.0025,             0.84052,              0.6859,             0.75803,             0.44184,            0.028611,            0.033345,           0.0098679,           0.0012631,           0.0012631,           0.0012631
                 116,            0.020578,            0.019726,           0.0011452,             0.83168,             0.68924,             0.75829,             0.44371,            0.028525,            0.033289,           0.0099309,           0.0012271,           0.0012271,           0.0012271
                 117,            0.024542,            0.023182,            0.002881,             0.82985,             0.68898,             0.75731,             0.44167,            0.028493,            0.033421,           0.0099724,           0.0011938,           0.0011938,           0.0011938
                 118,            0.024315,            0.020787,           0.0025599,             0.82985,             0.68898,             0.75731,             0.44167,            0.028493,            0.033423,           0.0099724,            0.001163,            0.001163,            0.001163
                 119,            0.023878,            0.016326,           0.0032347,             0.83303,             0.68618,             0.75855,             0.44114,            0.028569,            0.033514,           0.0099523,           0.0011349,           0.0011349,           0.0011349
                 120,            0.021776,            0.020342,           0.0012991,             0.83303,             0.68618,             0.75855,             0.44114,            0.028569,            0.033516,           0.0099523,           0.0011093,           0.0011093,           0.0011093
                 121,            0.022024,            0.014796,           0.0019534,              0.8451,             0.68083,             0.75909,             0.43991,            0.028687,             0.03363,           0.0099491,           0.0010865,           0.0010865,           0.0010865
                 122,            0.021946,            0.020739,           0.0024836,             0.82505,             0.69071,              0.7585,             0.43943,            0.028691,            0.033676,           0.0099897,           0.0010663,           0.0010663,           0.0010663
                 123,            0.024877,            0.028701,           0.0022581,             0.82505,             0.69071,              0.7585,             0.43943,            0.028691,            0.033674,           0.0099897,           0.0010487,           0.0010487,           0.0010487
                 124,            0.023709,            0.020917,           0.0019671,             0.82027,             0.69461,             0.75941,             0.43984,            0.028766,            0.033817,             0.01006,           0.0010338,           0.0010338,           0.0010338
                 125,            0.023953,            0.022132,           0.0021135,             0.82216,             0.69436,             0.75906,             0.44001,            0.028884,            0.033799,            0.010013,           0.0010217,           0.0010217,           0.0010217
                 126,            0.024402,            0.026398,           0.0020536,             0.82216,             0.69436,             0.75906,             0.44001,            0.028884,            0.033794,            0.010013,           0.0010122,           0.0010122,           0.0010122
                 127,            0.021129,            0.022467,           0.0012727,             0.81954,             0.69542,             0.75946,              0.4403,            0.028881,            0.033699,            0.010023,           0.0010054,           0.0010054,           0.0010054
